       0            1  2
0      1  240241.5020  2
1      2  219798.2820  2
2      3  220730.2600  2
3      4  240267.0200  2
4      5  220743.0090  2
5      6  218222.1950  2
6      7  218760.0710  2
7      8  221965.2000  2
8      9  219949.4330  2
9     10  239096.4970  2
10    11  218440.0500  2
11    12  239746.2200  2
12    13  220584.7620  2
13    14  218475.6420  2
14    15  220398.6840  2
15    16  218903.3555  2
16    17  220709.0170  2
17    18  241016.0880  2
18    19  239119.5030  2
19    20  219560.3580  2
20    21  220078.4900  2
21    22  239137.9140  2
